IssueLabelID,Title,Description.Element:Text,Title_Description.Element:Text,Label.Element:Text,Assignee,CreatedAt,ClosedAt
6108,Enable to the First Orleans application to be working,"Hello

I have followed the instruction from this link in order to create a simple Orleans application (https://dotnet.github.io/orleans/1.5/Tutorials/My-First-Orleans-Application.html)

However I get a error message saying



What part am I missing in order for the application to be working?

Thank you!","Enable to the First Orleans application to be working Hello

I have followed the instruction from this link in order to create a simple Orleans application (https://dotnet.github.io/orleans/1.5/Tutorials/My-First-Orleans-Application.html)

However I get a error message saying



What part am I missing in order for the application to be working?

Thank you!",documentation,sergeybykov,,
6107,Improve persistence doc page,"Fix an error in storage provider name.
Add a second provider for cart store.","Improve persistence doc page Fix an error in storage provider name.
Add a second provider for cart store.",,ReubenBond,,
6102,Fix routing of gateway count changed events to registered servi…,"Update the  services as handlers of the internal event. This fixes #6098.

Additionally when disposed remove the registered handlers in cases where the cluster client is disposed and registered handlers live longer.","Fix routing of gateway count changed events to registered servi… Update the  services as handlers of the internal event. This fixes #6098.

Additionally when disposed remove the registered handlers in cases where the cluster client is disposed and registered handlers live longer.",,ReubenBond,,
6099,DynamoDB clustering: support extended membership protocol,"The current implementation of the DynamoDB clustering provider only supports the initial membership protocol not the later [extension to the protocol](https://dotnet.github.io/orleans/Documentation/implementation/cluster_management.html#extension-to-totally-order-membership-views) to support totally ordered views of cluster membership.

It's important to support this so that the provider will function correctly.

See this PR which adds such support to Consul: https://github.com/dotnet/orleans/pull/6095","DynamoDB clustering: support extended membership protocol The current implementation of the DynamoDB clustering provider only supports the initial membership protocol not the later [extension to the protocol](https://dotnet.github.io/orleans/Documentation/implementation/cluster_management.html#extension-to-totally-order-membership-views) to support totally ordered views of cluster membership.

It's important to support this so that the provider will function correctly.

See this PR which adds such support to Consul: https://github.com/dotnet/orleans/pull/6095",help wanted,ReubenBond,8/11/2019 4:58,
6098,AddGatewayCountChangedHandler does not work," doesn't forward on the event like he does for connection lost - https://github.com/dotnet/orleans/blob/c683fa8f2fddf310c2dfc3c9cf43db4fb80be1ad/src/Orleans.Core/Runtime/OutsideRuntimeClient.cs#L121

This means there doesn't seem to be a simple way to know when a connection is re-established? Something that is necessary for client subscription to be resumed.","AddGatewayCountChangedHandler does not work  doesn't forward on the event like he does for connection lost - https://github.com/dotnet/orleans/blob/c683fa8f2fddf310c2dfc3c9cf43db4fb80be1ad/src/Orleans.Core/Runtime/OutsideRuntimeClient.cs#L121

This means there doesn't seem to be a simple way to know when a connection is re-established? Something that is necessary for client subscription to be resumed.",,ReubenBond,,
6096,Logger names for PubSubRendezvousGrain too fine grained,"I'm investigating a memory issue in our orleans cluster. While investigating a process dump I discovered there is a large amount of memory retained inside a dictionary in Microsoft.Extension.LoggingLoggerFactory. This dictionary keeps a mapping between LoggerName and logger. It seems that foreach stream event the PubSubRendezvousGrain is handling a new logger name and logger is created. 

In the dump the this dictionary contains over 40000 loggers which results in 26 MB of memory retention and I suspect it just keeps growing. For reference we use Serilog as logging provider.

Here some examples of created logger names:





","Logger names for PubSubRendezvousGrain too fine grained I'm investigating a memory issue in our orleans cluster. While investigating a process dump I discovered there is a large amount of memory retained inside a dictionary in Microsoft.Extension.LoggingLoggerFactory. This dictionary keeps a mapping between LoggerName and logger. It seems that foreach stream event the PubSubRendezvousGrain is handling a new logger name and logger is created. 

In the dump the this dictionary contains over 40000 loggers which results in 26 MB of memory retention and I suspect it just keeps growing. For reference we use Serilog as logging provider.

Here some examples of created logger names:





",,jason-bragg,,
6094,"No storage provider named ""xxx"" found loading grain type","orleans 3.0
I used as the  document say injected IPersistentState<TState> into the grain as constructor parameters  silo  has been configured with the name ""profileStore"".
but client throw an exception: No storage provider named ""xxx"" found loading grain type
inheriting from Grain< TState > This is still supported but is considered legacy. injected IPersistentState< TState > is it the recommended way?
Is there anything wrong here?

","No storage provider named ""xxx"" found loading grain type orleans 3.0
I used as the  document say injected IPersistentState<TState> into the grain as constructor parameters  silo  has been configured with the name ""profileStore"".
but client throw an exception: No storage provider named ""xxx"" found loading grain type
inheriting from Grain< TState > This is still supported but is considered legacy. injected IPersistentState< TState > is it the recommended way?
Is there anything wrong here?

",,sergeybykov,,
6093,IClusterClient in Azure App Service connecting to Silo in a VM,"I've got a Orleans silo running on a VM within a VNET with ip address & port 10.1.2.4:30000.
I have an Azure App Service which has been configured with VNET integration to the VM's VNET.
I've currently configured the Network Security Groups & OS Firewalls to allow all connections over the port ranges that the silo has been configured with.

When I attempt to connect a ClusterClient from the .net core web app running in the Azure App Service I get back:

Which indicates to me that the App Service is correctly VNET integrated.

I'm also able to successfully connect to the silo with a ClusterClient from my local machine (which has a VPN connection to the VNET) so there isn't an issue with the silo not accepting connections.

Is the IClusterClient meant to be able to run in an Azure App Service ? Does it maybe attempt to listen on a local socket which is not permitted according to the [Azure App Service restrictions](https://github.com/projectkudu/kudu/wiki/Azure-Web-App-sandbox#networking-restrictionsconsiderations)?

Is there some kind of work around that does not involve having to convert everything to run in the hugely complex Kubernetes/Docker nightmare or setting up IIS on virtual machines.","IClusterClient in Azure App Service connecting to Silo in a VM I've got a Orleans silo running on a VM within a VNET with ip address & port 10.1.2.4:30000.
I have an Azure App Service which has been configured with VNET integration to the VM's VNET.
I've currently configured the Network Security Groups & OS Firewalls to allow all connections over the port ranges that the silo has been configured with.

When I attempt to connect a ClusterClient from the .net core web app running in the Azure App Service I get back:

Which indicates to me that the App Service is correctly VNET integrated.

I'm also able to successfully connect to the silo with a ClusterClient from my local machine (which has a VPN connection to the VNET) so there isn't an issue with the silo not accepting connections.

Is the IClusterClient meant to be able to run in an Azure App Service ? Does it maybe attempt to listen on a local socket which is not permitted according to the [Azure App Service restrictions](https://github.com/projectkudu/kudu/wiki/Azure-Web-App-sandbox#networking-restrictionsconsiderations)?

Is there some kind of work around that does not involve having to convert everything to run in the hugely complex Kubernetes/Docker nightmare or setting up IIS on virtual machines.",,ReubenBond,,
6090,Found problems with cluster via Consul,"Hi 
Just tried using Orleans first time so I have several issues here when using Consul.
I'm using .NET Core 3.1 and starts silos on local machine.

1. After several silos restart Consul contains information about dead silos and Orleans is trying to reuse it every time. Looks like there is needed purging mechanism from key-value storage.
2. After restarting Consul agent (single in my testing environment) cluster become dead - silos do no register themself anymore and can not find others.

For starting Consul I'm using this command


Nothing special here just following your Hello World examples and connected to Consul so if you need my test application I can provide it with ease.","Found problems with cluster via Consul Hi 
Just tried using Orleans first time so I have several issues here when using Consul.
I'm using .NET Core 3.1 and starts silos on local machine.

1. After several silos restart Consul contains information about dead silos and Orleans is trying to reuse it every time. Looks like there is needed purging mechanism from key-value storage.
2. After restarting Consul agent (single in my testing environment) cluster become dead - silos do no register themself anymore and can not find others.

For starting Consul I'm using this command


Nothing special here just following your Hello World examples and connected to Consul so if you need my test application I can provide it with ease.",,ReubenBond,,
6089,SiloStatusChangeNotification being hit multiple times,"**Environment:**

- 4 Windows Servers (1 silo on each server)
- Consul Clustering
- Ado Reminders (MariaDB)

Current working orleans version 2.3.4 (no issues)
Issues reported once updated to orleans 2.4.3

**Reported Issue:**

MariaDb database being hit by large amounts of select reminders query. (643945 selects in 40min starting with an empty reminders table then eventually creating about 60 reminders)



This log is being called via this call stack: 

SiloStatusListenerManager.Participate.ProcessMembershipUpdates.NotifyObservers ->
VirtualBucketsRingProvider.SiloStatusChangeNotification.**AddServer**.NotifyLocalRangeSubscribers - > RangeChangeNotification.OnRangeChange.ReadAndUpdateReminders.ReadTableAndStartTimers

The log 'Starting VirtualBucketsRingProvider on silo' is only hit 4 times within the 40min session.

What is triggering Silo Status Change Notification? 





","SiloStatusChangeNotification being hit multiple times **Environment:**

- 4 Windows Servers (1 silo on each server)
- Consul Clustering
- Ado Reminders (MariaDB)

Current working orleans version 2.3.4 (no issues)
Issues reported once updated to orleans 2.4.3

**Reported Issue:**

MariaDb database being hit by large amounts of select reminders query. (643945 selects in 40min starting with an empty reminders table then eventually creating about 60 reminders)



This log is being called via this call stack: 

SiloStatusListenerManager.Participate.ProcessMembershipUpdates.NotifyObservers ->
VirtualBucketsRingProvider.SiloStatusChangeNotification.**AddServer**.NotifyLocalRangeSubscribers - > RangeChangeNotification.OnRangeChange.ReadAndUpdateReminders.ReadTableAndStartTimers

The log 'Starting VirtualBucketsRingProvider on silo' is only hit 4 times within the 40min session.

What is triggering Silo Status Change Notification? 





",,ReubenBond,,
6088,Lazy load with IPersistentState,There are a lot use cases when lazy load is preffered way to load the grain state. Will be very helpfull to have ability to configure the using of IPersistentState with lazy manner. Maybe to define new interface IDefferPersistentState or ILazyPersistentState,Lazy load with IPersistentState There are a lot use cases when lazy load is preffered way to load the grain state. Will be very helpfull to have ability to configure the using of IPersistentState with lazy manner. Maybe to define new interface IDefferPersistentState or ILazyPersistentState,,jason-bragg,,
6087,Rationale for StorageProvider attribute on grain implementation?,"I'm wondering about the rationale behind grain implementations needing to specify  is called (which I realize is used by Orleans but not part of it). The silo controls every other aspect of storage so to me ""where to store each grain"" seems like a natural fit as well.

I'm curious if I'm overlooking some benefit to this design and whether there might be interest in changing it (perhaps while still supporting the attribute for backwards compatibility).","Rationale for StorageProvider attribute on grain implementation? I'm wondering about the rationale behind grain implementations needing to specify  is called (which I realize is used by Orleans but not part of it). The silo controls every other aspect of storage so to me ""where to store each grain"" seems like a natural fit as well.

I'm curious if I'm overlooking some benefit to this design and whether there might be interest in changing it (perhaps while still supporting the attribute for backwards compatibility).",question,sergeybykov,,
6085,Saving references to Other grains,"Hey

I've trying out Orleans for some simple projects to get my head around.
I'd like to ask if this is an Orleans way to approach things.

I have Player and player can have multiple inventories (which in turn store multiple items).
Right now I have Player Grain and Inventory Grain. Player Grain can reference multiple Inventory grains.

1. Should I store Inventory Grains IDs inside PlayerState ?
2. Can I just store Inventory References inside PlayerState and will they be automatically serialized ?
3. Should I simply put everything into single grain (Player) ?
","Saving references to Other grains Hey

I've trying out Orleans for some simple projects to get my head around.
I'd like to ask if this is an Orleans way to approach things.

I have Player and player can have multiple inventories (which in turn store multiple items).
Right now I have Player Grain and Inventory Grain. Player Grain can reference multiple Inventory grains.

1. Should I store Inventory Grains IDs inside PlayerState ?
2. Can I just store Inventory References inside PlayerState and will they be automatically serialized ?
3. Should I simply put everything into single grain (Player) ?
",question,sergeybykov,,
6084,Null IIncomingGrainCallContext.ImplementationMethod when using ValueTuples,"Orleans version: 2.3.2

When using the following signature for a grain method



The context is fixed and works as expected.","Null IIncomingGrainCallContext.ImplementationMethod when using ValueTuples Orleans version: 2.3.2

When using the following signature for a grain method



The context is fixed and works as expected.",,ReubenBond,,
6077,Clustering audit log,"Hi

I would like to open a discussion:

For me the clustering is sometimes hard to understand and it would be very good to have some kind of an audit log like in kubernetes with high level messages that tell me the status of the cluster such as:

* Member <Hostname> (IP) has joined the cluster.
* Member <Hostname> (IP) is not reachable from <Hostname> (IP) <HostName> (IP) and ...

This could be very valuable because reading the logs can be hard and in case of cluster errors you can have thousand of consecutive errors that you need to filter out.

Just this morning my k8 has restarted my nodes because the health check became unhealthy and do not really understand the reason.

It would be great to have a IAuditLog interface that just logs it to the logger but can also be used to persist it to a database and then consumed by OrleansDashboard or so.

In case you are writing a product for others users like Squidex (https://github.com/squidex/squidex) it is hard to get good default values for the logs. Either it is too much or too less.

Or we need to be more careful with logging categories because class names are not a good source for categories especially when potentially dozens of classes are involved to do a job like clustering.

To be honest I have no idea what something like this means:

     Silo S10.0.0.22:11111:309992883 is rejecting message: Request S10.0.0.22:11111:309992883*stg/13/0000000d@S0000000d->S10.0.2.132:11111:309992903*stg/10/0000000a@S0000000a #1069522: . Reason = Recent (00:00:00.0755821 ago at 2019-10-30 06:20:30.534 GMT) connection failure trying to reach target silo S10.0.2.132:11111:309992903. Going to drop Request msg 1069522 without sending. CONNECTION_RETRY_DELAY = 00:00:01.


","Clustering audit log Hi

I would like to open a discussion:

For me the clustering is sometimes hard to understand and it would be very good to have some kind of an audit log like in kubernetes with high level messages that tell me the status of the cluster such as:

* Member <Hostname> (IP) has joined the cluster.
* Member <Hostname> (IP) is not reachable from <Hostname> (IP) <HostName> (IP) and ...

This could be very valuable because reading the logs can be hard and in case of cluster errors you can have thousand of consecutive errors that you need to filter out.

Just this morning my k8 has restarted my nodes because the health check became unhealthy and do not really understand the reason.

It would be great to have a IAuditLog interface that just logs it to the logger but can also be used to persist it to a database and then consumed by OrleansDashboard or so.

In case you are writing a product for others users like Squidex (https://github.com/squidex/squidex) it is hard to get good default values for the logs. Either it is too much or too less.

Or we need to be more careful with logging categories because class names are not a good source for categories especially when potentially dozens of classes are involved to do a job like clustering.

To be honest I have no idea what something like this means:

     Silo S10.0.0.22:11111:309992883 is rejecting message: Request S10.0.0.22:11111:309992883*stg/13/0000000d@S0000000d->S10.0.2.132:11111:309992903*stg/10/0000000a@S0000000a #1069522: . Reason = Recent (00:00:00.0755821 ago at 2019-10-30 06:20:30.534 GMT) connection failure trying to reach target silo S10.0.2.132:11111:309992903. Going to drop Request msg 1069522 without sending. CONNECTION_RETRY_DELAY = 00:00:01.


",,sergeybykov,,
6076,Upgrade to Orleans 3.0 from 2.* seems to incur performance issues,"An upgrade from 2 to 3.0 seems to make performance worse in two ways:

- The average request time is higher than before
- There are ""odd spikes"" that go from what would normally be 5ms-20ms to 500ms-1000ms. These seem to not be related to external dependencies

This is running on alpine nightly with dotnet core 3.0 running on AKS.

Screenshot of normal operations:

![normal](https://user-images.githubusercontent.com/5766347/67874630-7a960000-fb35-11e9-9d90-ddeaefeab405.png)

This is the kind of peaks we are experiencing now:

![peaks](https://user-images.githubusercontent.com/5766347/67874663-85509500-fb35-11e9-8601-93eb9c29e659.png)

Information about the system: 

- Load is not high (sub 1 transaction a second)
- Load is very even re-using the same grains
- Backend database has been scaled up but we still have issues
","Upgrade to Orleans 3.0 from 2.* seems to incur performance issues An upgrade from 2 to 3.0 seems to make performance worse in two ways:

- The average request time is higher than before
- There are ""odd spikes"" that go from what would normally be 5ms-20ms to 500ms-1000ms. These seem to not be related to external dependencies

This is running on alpine nightly with dotnet core 3.0 running on AKS.

Screenshot of normal operations:

![normal](https://user-images.githubusercontent.com/5766347/67874630-7a960000-fb35-11e9-9d90-ddeaefeab405.png)

This is the kind of peaks we are experiencing now:

![peaks](https://user-images.githubusercontent.com/5766347/67874663-85509500-fb35-11e9-8601-93eb9c29e659.png)

Information about the system: 

- Load is not high (sub 1 transaction a second)
- Load is very even re-using the same grains
- Backend database has been scaled up but we still have issues
",,ReubenBond,,
6075,[doc] Multiple language support,"I want to translate the docs to Chinese How can I start?
I prefer add some language identifier folders (en-us zh-cn and so on) to place the translated docs.
","[doc] Multiple language support I want to translate the docs to Chinese How can I start?
I prefer add some language identifier folders (en-us zh-cn and so on) to place the translated docs.
",documentation,sergeybykov,30/10/2019 10:45,
6073,error NETSDK1085 when creating package using dotnet cli 3.0.100,After updating ,error NETSDK1085 when creating package using dotnet cli 3.0.100 After updating ,,ReubenBond,,
6072,Removed silo status check before cleaing up system targets from…,Original code assumed producers only moved when their silo died.  This is not the case.,Removed silo status check before cleaing up system targets from… Original code assumed producers only moved when their silo died.  This is not the case.,,benjaminpetit,,
6071,Azure table grain storage inconsistent state on not found,Azure table grain storage returns inconsistent state if modifying state that does not exist.,Azure table grain storage inconsistent state on not found Azure table grain storage returns inconsistent state if modifying state that does not exist.,,ReubenBond,,
6070,Switch to System.Text.Json APIs,"The new [System.Text.Json](https://devblogs.microsoft.com/dotnet/try-the-new-system-text-json-apis/) API's provide a slight performance boost over Newtonsoft.Json and I believe the gap will get wider with further releases. This boost is even more prevalant if you serialize directly to and from UTF-8 bytes.

Are there any plans to migrate to this as the new default and possible enable the ability to switch between the two formats like in ASP.NET Core?","Switch to System.Text.Json APIs The new [System.Text.Json](https://devblogs.microsoft.com/dotnet/try-the-new-system-text-json-apis/) API's provide a slight performance boost over Newtonsoft.Json and I believe the gap will get wider with further releases. This boost is even more prevalant if you serialize directly to and from UTF-8 bytes.

Are there any plans to migrate to this as the new default and possible enable the ability to switch between the two formats like in ASP.NET Core?",,sergeybykov,,
6067,Nullable warning in generated code.,"Hi

I get the following warning in the *.g.cs files:



Could you disable it? It is enabled for the whole project.","Nullable warning in generated code. Hi

I get the following warning in the *.g.cs files:



Could you disable it? It is enabled for the whole project.",,ReubenBond,,
6065,Clean up docs for 3.0,,Clean up docs for 3.0 ,,ReubenBond,,
6060,Update README,,Update README ,,sergeybykov,,
6057,Improved activation queue monitoring,#NAME?,"Improved activation queue monitoring - Added load stages to prevent spamming logs under load.
- Added max lifetime and spike high load metrics",,ReubenBond,,
6053,Added consistent logging for all messages dropped due to expiry,,Added consistent logging for all messages dropped due to expiry ,,sergeybykov,,
6052,sending per grain info to storage system when saving,"When I was trying to implement a playfab based storage system for grains and also previously when I wanted to make some settings per grain (not per grain type) in a storage provider to save my data in a different manner the storage system couldn't do that.

Let's say we have a set of player grains.  
Also assume that for saving data for each user in playfab you need the user's ID which the grain has at runtime and it cannot be deduced from grain key how can we send this info to our storage provider when we initialize the grain/when calling WriteStateAsync so the provider can do its job? 

One easy/dirty way of solving it is to have an object argument for WriteStateAsync and ReadStateAsync but probably it can be done better.

@sergeybykov  @ReubenBond  I saw you were looking for feedback for Orleans 3 probably this is late for that but I hope still is useful","sending per grain info to storage system when saving When I was trying to implement a playfab based storage system for grains and also previously when I wanted to make some settings per grain (not per grain type) in a storage provider to save my data in a different manner the storage system couldn't do that.

Let's say we have a set of player grains.  
Also assume that for saving data for each user in playfab you need the user's ID which the grain has at runtime and it cannot be deduced from grain key how can we send this info to our storage provider when we initialize the grain/when calling WriteStateAsync so the provider can do its job? 

One easy/dirty way of solving it is to have an object argument for WriteStateAsync and ReadStateAsync but probably it can be done better.

@sergeybykov  @ReubenBond  I saw you were looking for feedback for Orleans 3 probably this is late for that but I hope still is useful",,jason-bragg,,
6051,Recommendation on Grain ID creation,"We are using Orleans and have a need to map Grains backing storage to a relational table structure that will be ad-hoc queried using SQL. The tables will have auto incremented ID's controlled defined by the table.

My question is how would you recommend creating these grains because GrainFactory.GetGrain<T>(..) requires an ID but we don't know the ID until we have saved the record into the database. ","Recommendation on Grain ID creation We are using Orleans and have a need to map Grains backing storage to a relational table structure that will be ad-hoc queried using SQL. The tables will have auto incremented ID's controlled defined by the table.

My question is how would you recommend creating these grains because GrainFactory.GetGrain<T>(..) requires an ID but we don't know the ID until we have saved the record into the database. ",,sergeybykov,,
6050,Update change log for 3.0.0-rc2,,Update change log for 3.0.0-rc2 ,,ReubenBond,,
6049,Remove SQL scripts from AdoNet NuGet packages,"Based on the discussion in #4867 this PR is a replacement for #6044. It removes SQL scripts from the AdoNet provider packages. The prevailing opinion is that we shouldn't have them pollute the AdoNet packages and that we don't even want a readme.md there.

We can separately decide how to let developers know where to find the scripts.","Remove SQL scripts from AdoNet NuGet packages Based on the discussion in #4867 this PR is a replacement for #6044. It removes SQL scripts from the AdoNet provider packages. The prevailing opinion is that we shouldn't have them pollute the AdoNet packages and that we don't even want a readme.md there.

We can separately decide how to let developers know where to find the scripts.",,ReubenBond,,
6047,Transactions: support larger state sizes in Azure Table Storage,This implementation retains backwards compatibility with existing stored data while adding support for states which are too large to fit into a single Azure Table Storage column (which holds a maximum of 32 * 1024 chars),Transactions: support larger state sizes in Azure Table Storage This implementation retains backwards compatibility with existing stored data while adding support for states which are too large to fit into a single Azure Table Storage column (which holds a maximum of 32 * 1024 chars),,jason-bragg,,
6046,Add separate SiloMessagingOptions.SystemResponseTimeout option,This PR adds an option to set the response timeout for  messages sent from a silo. The default value is 30s but in future that may be changed to a lower value such as 2s.,Add separate SiloMessagingOptions.SystemResponseTimeout option This PR adds an option to set the response timeout for  messages sent from a silo. The default value is 30s but in future that may be changed to a lower value such as 2s.,,sergeybykov,,
6045,Added structured logging,Implemented structured logging (see #5865) for the project OrleansProviders. Doing it project by project makes it a bit more manageable than to do the whole lot in one changeset.,Added structured logging Implemented structured logging (see #5865) for the project OrleansProviders. Doing it project by project makes it a bit more manageable than to do the whole lot in one changeset.,,ReubenBond,,
