IssueLabelID,Title,Description,Label,CreatedAt,ClosedAt,Assignee
39315,VB implementation of WriteDocumentationCommentXml does not respect filterTree,During review of [DevDiv 999063](https://dev.azure.com/devdiv/DevDiv/_workitems/edit/999063) I found that syntax trees were reconstituted 115603 times in less than 100 seconds including 217 cases for just **src/Compilers/VisualBasic/Portable/Lowering/Re,Area-Compilers|Concept-Continuous Improvement|Tenet-Performance,16/10/2019 3:21:28 PM +00:00,,agocke
39302,Ignore await in completion when triggers completion between two dots,"Fixes https://github.com/dotnet/roslyn/issues/39150

We already provide completion between two dots which also can be treated as a range expression. However if there is the `await` keyword before the expression we are in stuck.",Area-IDE|IDE-IntelliSense,15/10/2019 10:46:00 PM +00:00,,
39301,DRAFT changes.  On hold pending #20648,"Address issues with flow analysis slot container types and changing types during inference in the nullable walker
Fixes #39220
Fixes #39297
Fixes #33428",Area-Compilers|Bug|PR For Personal Review Only,15/10/2019 10:45:31 PM +00:00,,gafter
39289,Provide a hidden diagnostic for unnecessary suppression operator,"Correct implementation of the ""Unnecessary suppression operator"" analyzer would benefit from a hidden compiler diagnostic similar to the one reported for unnecessary using directives. This diagnostic would be available for _all_ unnecessary suppression op",Area-Compilers|Feature Request|New Language Feature - Nullable Reference Types|Resolution-Duplicate,15/10/2019 12:55:34 PM +00:00,15/10/2019 12:56:33 PM +00:00,
39288,Update AbstractEditAndContinueAnalyzer.HasBackingField for NRT changes,"The following exclusion was added in #39184.

https://github.com/dotnet/roslyn/blob/f2ce0fa23ef602861e00fdd9d44a9be9e9fce8fd/src/Features/Core/Portable/EditAndContinue/AbstractEditAndContinueAnalyzer.cs#L2699-L2705",Area-Interactive|Concept-Continuous Improvement|Interactive-EnC|New Language Feature - Nullable Reference Types|help wanted,15/10/2019 12:44:04 PM +00:00,,tmat
39281,Switch source writer entirely over to using interpolations.,"",Area-Compilers|Community,15/10/2019 1:19:35 AM +00:00,15/10/2019 7:21:12 PM +00:00,jcouv
39277,Test CI error messages,"",PR For Personal Review Only,14/10/2019 11:36:24 PM +00:00,,
39273,Disable optprof check for flow analysis assembly,"",Area-Infrastructure,14/10/2019 7:08:17 PM +00:00,14/10/2019 8:52:48 PM +00:00,
39263,C# virtual keyword recommender does not support private protected members,"**Version Used**: Visual Studio 2019 Version 16.4

https://github.com/dotnet/roslyn/blob/7bc44488c661fd6bbb6c53f39512a6fe0cc5ef84/src/Features/CSharp/Portable/Completion/KeywordRecommenders/VirtualKeywordRecommender.cs#L12-L20",Area-IDE|Bug|IDE-IntelliSense|help wanted,14/10/2019 7:20:22 AM +00:00,16/10/2019 7:21:10 PM +00:00,
39261,Fix dead class diagram,"Is there anyone actually mentioning it? It hasn't changed for 4 years.
Visual editor in IDE always picks alphabetically first file for the partial classes.
Or we should get the outdated diagram removed instead?",Area-Compilers|Community,13/10/2019 11:34:03 AM +00:00,,
39254,Parse test analyzer data using InvariantCulture,"Fixes #39248.

I quickly went over all other references to `EnsureEnglishUICulture.PreferredOrNull` and to my knowledge this is the only place where it is used to parse numeric data so I don't believe its behavior needs to be changed.",Area-Infrastructure|Community,12/10/2019 6:45:47 PM +00:00,14/10/2019 5:46:08 AM +00:00,
39248,Tests in PerformanceTrackerServiceTests fail when the current English language culture uses a different number format,When running the included tests on my Windows 10 machine which has its display language set to English (United States) and its regional settings set to English (Sweden) (en-SE) four of the five tests in the `PerformanceTrackerServiceTests` class fail wi,Area-Infrastructure|Contributor Pain|help wanted,12/10/2019 1:36:00 AM +00:00,14/10/2019 5:46:08 AM +00:00,
39242,Use lifted operator in generated Equals if the underlying type's operator would have been used,"Closes #39236
",Area-IDE|Community,11/10/2019 11:33:28 PM +00:00,18/10/2019 9:54:20 PM +00:00,jasonmalinowski
39233,Fix 'ref' parsing crash,Closes #39072,Area-Compilers,11/10/2019 1:36:08 AM +00:00,18/10/2019 2:16:22 AM +00:00,
39228,Fix IDE0009 false positive on local functions,Fixes #38043 and adds relevant test.,Area-IDE,10/10/2019 11:12:59 PM +00:00,15/10/2019 10:06:04 PM +00:00,
39227,Adjust syntax equivalence to account for nullable directives,Fixes https://github.com/dotnet/roslyn/issues/38694. @dotnet/roslyn-compiler @CyrusNajmabadi for review.,Area-Compilers|New Language Feature - Nullable Reference Types,10/10/2019 10:28:21 PM +00:00,,
39226,Local function attributes emit,Related to #38801,Area-Compilers,10/10/2019 10:16:34 PM +00:00,,
39225,Remove CPS restriction for applying rename during code fix,"Fixes #37469 

There's no reason I know of to restrict this",Area-IDE,10/10/2019 10:09:38 PM +00:00,,
39222,Revisit TaskFactoryExtensions.SafeStartNew* methods,"The current implementation wraps the given action into try-catch with fail fast crash.
This is not the best approach in most cases (we should recover from the exception and report NFW if possible) and where it is it should be explicit.",Area-IDE,10/10/2019 8:38:59 PM +00:00,,
39216,Disable optimization for flow analysis utilities.,Disable optimization for flow analysis package,Area-Infrastructure,10/10/2019 5:44:04 PM +00:00,11/10/2019 8:47:32 AM +00:00,
39215,Fix AddImports codefix on implicit extension methods,"See #39155. If that's by-design and cannot be changed any more please close that issue.
Fixes #25861 but missing unit test.",Area-IDE|Community,10/10/2019 1:53:12 PM +00:00,,JoeRobich
39209,Annotate NamespaceOrTypeSymbol,"",Area-Compilers|Blocked,10/10/2019 7:41:53 AM +00:00,,
39208,Annotate TypeSymbol,"",Area-Compilers|Blocked,10/10/2019 7:39:36 AM +00:00,,
39207,Annotate implementations of ITypeParameterSymbol,"",Area-Compilers|Blocked,10/10/2019 7:32:34 AM +00:00,,
39206,Annotate implementations of IAnonymousTypeTemplateSymbolInternal,"",Area-Compilers|Blocked,10/10/2019 7:26:53 AM +00:00,,
39205,Annotate implementations of IPropertySymbol,"",Area-Compilers|Blocked,10/10/2019 7:24:13 AM +00:00,,
39204,Annotate implementations of INamespaceSymbol,"",Area-Compilers|Blocked,10/10/2019 7:12:31 AM +00:00,,
39203,Annotate implementations of IPointerTypeSymbol,"",Area-Compilers|Blocked,10/10/2019 7:06:15 AM +00:00,,
39202,Annotate implementations of IRangeVariableSymbol,"",Area-Compilers|Blocked,10/10/2019 7:01:42 AM +00:00,,
39201,Annotate implementations of IPreprocessingSymbol,"",Area-Compilers|Blocked,10/10/2019 6:57:01 AM +00:00,,
39200,Annotate implementations of IParameterSymbol,"",Area-Compilers|Blocked,10/10/2019 6:54:17 AM +00:00,,
39199,Annotate implementations of IModuleSymbol,"",Area-Compilers|Blocked,10/10/2019 6:33:59 AM +00:00,,
39198,Annotate implementations of ILocalSymbol,"",Area-Compilers|Blocked,10/10/2019 6:25:55 AM +00:00,,
39197,Annotate implementations of ILabelSymbol,"",Area-Compilers|Blocked,10/10/2019 6:20:12 AM +00:00,,
39196,Annotate implementations of IFieldSymbol,"",Area-Compilers|Blocked,10/10/2019 6:12:21 AM +00:00,,
39194,Annotate implementations of IEventSymbol,"",Area-Compilers|Blocked,10/10/2019 1:41:08 AM +00:00,,
39192,Annotate implementations of IErrorTypeSymbol,"",Area-Compilers|Blocked,10/10/2019 1:29:52 AM +00:00,,
39191,Annotate implementations of IDynamicTypeSymbol,"",Area-Compilers|Blocked,10/10/2019 1:24:12 AM +00:00,,
39190,Annotate implementations of IDiscardSymbol,"",Area-Compilers|Blocked,10/10/2019 1:20:12 AM +00:00,,
39189,Removed deprecated DPL code,"",Area-Infrastructure,10/10/2019 1:18:20 AM +00:00,,allisonchou
39188,Annotate implementations of IAssemblySymbol,"",Area-Compilers|Blocked,10/10/2019 1:15:56 AM +00:00,,
39187,Annotate implementations of IArrayTypeSymbol,"",Area-Compilers|Blocked,10/10/2019 12:51:23 AM +00:00,,
39186,Annotate implementations of IAliasSymbol,"",Area-Compilers|Blocked,10/10/2019 12:45:15 AM +00:00,,
39185,Annotate core symbol types,"",Area-Compilers,10/10/2019 12:31:01 AM +00:00,11/10/2019 5:39:57 PM +00:00,
39184,Annotate remaining symbol interfaces,This pull request includes interfaces except for `ISymbol` itself.,Area-Compilers,10/10/2019 12:17:43 AM +00:00,15/10/2019 10:21:01 PM +00:00,jcouv
39180,Add annotations for most of ISymbol,"",Area-Compilers,10/10/2019 12:01:16 AM +00:00,11/10/2019 5:43:07 PM +00:00,
39167,Explicit interface implementation 'RefCustomModifiers' is not inherited,https://github.com/dotnet/roslyn/blob/82f09c4e6067d3a164000f1acf355ee8e774fad5/src/ExpressionEvaluator/CSharp/Source/ExpressionCompiler/Symbols/PlaceholderMethodSymbol.cs#L169-L178,Area-Compilers,9/10/2019 10:01:55 PM +00:00,,
39166,Enable nullable reference types in Roslyn,"This meta issue may be linked by sections of code in which nullable reference types is not yet enabled.

Note: this issue is referenced in source (do not close the issue without scrubbing the source)",Area-Infrastructure|Story,9/10/2019 9:57:30 PM +00:00,,
39161,Test bootstrap,testing bootstrap build because it's being finicky to run locally.,PR For Personal Review Only,9/10/2019 6:31:21 PM +00:00,14/10/2019 6:32:19 PM +00:00,
39159,Infer indentation in files with IIndentationManagerService,IIndentationManagerService is a new service from the editor that looks at the existing tabs and spaces in a file and attempts to determine what the prevailing format is. This is useful for repositories that may have not had an .editorconfig to specify wha,Area-IDE,9/10/2019 6:13:58 PM +00:00,,jasonmalinowski
39157,Initial support for binary operators with native-sized integers,"",Area-Compilers,9/10/2019 5:46:51 PM +00:00,,
39156,Remove code to generate type switches,Requested in https://github.com/dotnet/roslyn/pull/38013#discussion_r330308187,Area-IDE,9/10/2019 3:57:30 PM +00:00,9/10/2019 5:43:24 PM +00:00,
39154,Support the 'language' attribute for <code> documentation elements,"Requested as part of #39140

🔗 [language attribute (Sandcastle Help File Builder XML Comments Guide)](http://ewsoftware.github.io/XMLCommentsGuide/html/1abd1992-e3d0-45b4-b43d-91fcfc5e5574.htm#language)",Area-IDE|Feature Request|IDE-IntelliSense|Need Design Review,9/10/2019 2:55:06 PM +00:00,,
39137,Require MSBuild 16.3 in compiler NuGet packages,Fixes #38312,Area-Compilers,8/10/2019 11:37:58 PM +00:00,16/10/2019 5:32:28 PM +00:00,
39136,Include source files w/o method bodies in the PDB documents,"Fixes #38954

Currently the compiler does not list source files in the debug documents in the PDB that are part of the compilation but do not have any method body. These documents are only added in order to support sequence points.",Area-Compilers,8/10/2019 10:03:30 PM +00:00,14/10/2019 8:17:40 PM +00:00,jcouv
39128,SyntaxFactory.MethodDeclaration no longer accepts SyntaxKind.EndOfFileToken for semicolonToken,Previous to upgrading to 3.3.1 (was on 3.1.0) I was able to pass a SyntaxKind.EndofFileToken into semicolon parameter on the SyntaxFactory.MethodDeclaration method but after the upgrade to 3.3.1  now receive a runtime exception … System.ArgumentException:,Area-Compilers,8/10/2019 7:49:16 AM +00:00,,
39125,Using declaration ioperation,"IOperation and CFG support for using declarations

Fixes #32100",Area-Compilers,8/10/2019 12:17:47 AM +00:00,16/10/2019 6:00:28 PM +00:00,
39119,Add note about testing updated assembly versions,/cc @jaredpar,Area-Infrastructure,7/10/2019 10:22:15 PM +00:00,8/10/2019 4:37:51 PM +00:00,
39112,Update roslyn version for 16.5 preview 1,Create the 16.5p1 branch.  Note that there isn't a VS branch for this yet so I believe we don't need to update the publishdata/vs-deps branches.,Area-Infrastructure,7/10/2019 8:55:43 PM +00:00,8/10/2019 5:13:35 PM +00:00,
39105,Add an IDE storage service benchmark,This helps enable us to make changes to the storage service and ensure that we're not regressing perf.,Area-IDE|Community,7/10/2019 7:00:56 PM +00:00,15/10/2019 11:25:22 PM +00:00,sharwell
39104,Handle a missing case in bad conversion error reporting.,Fixes #39082,Area-Compilers|New Language Feature - Pattern Matching,7/10/2019 6:43:46 PM +00:00,14/10/2019 9:01:56 PM +00:00,gafter
39103,Merge master to features/localsinit,"",Area-Infrastructure,7/10/2019 6:17:37 PM +00:00,8/10/2019 8:59:02 PM +00:00,
39101,Enable CA1829 for test code in Roslyn.sln,See https://github.com/dotnet/roslyn/pull/39029/files#r331157299,Area-Infrastructure|Test,7/10/2019 4:35:34 PM +00:00,,
39097,Handle null Display string in FxCopAnalyzersSuggestedActionCallback,"Fixes #39092
Also fix VisualStudioUnresolvedAnalyzerReference to correctly forward the Display value to the underlying analyzer reference.",Area-IDE,7/10/2019 1:49:53 PM +00:00,8/10/2019 8:32:43 PM +00:00,
39091,Fix: Underselection test bug,"+ Fix for #38708 
+ Enabled interleaving of {| and |] in tests (required for the issue regression tests)
+ Added general tests for IsUnderselected + machinery.",Area-IDE|Community,6/10/2019 10:28:22 PM +00:00,9/10/2019 5:05:02 PM +00:00,mavasani
39089,Fix symbol display for group by range variable,"Fixes https://github.com/dotnet/roslyn/issues/38794.

The main change here is adding a `QueryContinuationSyntax` case to `GetQueryBody` though that's a bit lost in the diff because I also refactored the method to use `switch` expression.",Area-Compilers|Community,6/10/2019 1:24:27 PM +00:00,7/10/2019 6:16:16 PM +00:00,
39088,WIP: Sqlite close on delete,"",Area-IDE|Community|PR For Personal Review Only,6/10/2019 4:54:58 AM +00:00,16/10/2019 9:19:15 PM +00:00,
38998,Delete some dead code from the rename test harness,"",Area-IDE,2/10/2019 5:49:24 PM +00:00,2/10/2019 10:25:28 PM +00:00,jasonmalinowski
38988,Better array pattern index codegen,Fixes #38942,Area-Compilers,1/10/2019 11:47:29 PM +00:00,8/10/2019 11:07:57 PM +00:00,
38987,Fix regression in RemoveUnusedParametersAndValues analyzer,My previous PR #38666 to improve performance for the analyzer introduced a functional regression in SymbolUsageAnalysis which is fixed by this change.,Area-IDE,1/10/2019 11:31:20 PM +00:00,2/10/2019 8:20:27 AM +00:00,
38981,Publish LSP document diagnostics only for relevant documents.,"fixes https://devdiv.visualstudio.com/DevDiv/_workitems/edit/991786

now that there are LSP providers per language document diagnostics should be published only for the relevant documents.",Area-IDE,1/10/2019 7:50:22 PM +00:00,4/10/2019 7:24:33 PM +00:00,
38980,Check language version on relaxed ordering of parameter modifiers,Fixes https://github.com/dotnet/roslyn/issues/38486,Area-Compilers,1/10/2019 6:28:49 PM +00:00,2/10/2019 10:56:47 PM +00:00,RikkiGibson
38970,Unify AnalyzerDriver.IsDiagnosticAnalyzerSuppressed with compiler's diagnostic filtering logic,See https://github.com/dotnet/roslyn/pull/38792#discussion_r329812476,Area-Analyzers|Feature Request,30/09/2019 11:36:15 PM +00:00,,
38967,Fix language check for netcoreapp3.1,"Now checks if the version is < netcoreapp3.0 or netstandard2.1 instead of checking
if they're not equal.",Area-Compilers,30/09/2019 10:29:23 PM +00:00,1/10/2019 7:57:32 PM +00:00,
38966,C# 8 by default for netcoreapp3.1,It currently defaults to C# 7.3.,Area-Compilers,30/09/2019 9:51:34 PM +00:00,1/10/2019 7:57:33 PM +00:00,
38960,Allow conversion of GetAwaiter extension method this arg,Fixes #30956,Area-Compilers,30/09/2019 8:35:55 PM +00:00,8/10/2019 12:15:23 AM +00:00,jcouv
38959,IDE should detect previously generated 'GetHashCode' and offer to upgrade it to use System.HashCode if available.,"",4 - In Review|Area-IDE|Feature Request,30/09/2019 7:38:33 PM +00:00,,CyrusNajmabadi
38958,AnalyzerDriver is needs refactoring,There are now many fields/properties that are confusing including a mix of ConcurrentDictionary and Dictionary with no clear annotation on what the threading model of the type is.,Area-Analyzers|Area-Compilers|Concept-Design Debt,30/09/2019 7:33:15 PM +00:00,,
38956,Compile without switch optimizations,"# Issue Title

Is possible to specify some flags in the compiler for disable some optimizations? 

# General

As i know when a switch have a lot of entries is added a method `ComputeStringHash` is possible to prevent this optimizations?",Area-Compilers|Question|Resolution-Answered,30/09/2019 6:40:53 PM +00:00,30/09/2019 8:41:33 PM +00:00,
38952,Spelling fixes,"",Community,30/09/2019 1:30:35 PM +00:00,30/09/2019 6:20:00 PM +00:00,
38951,Spelling fixes,"",Area-IDE|Community,30/09/2019 1:21:32 PM +00:00,30/09/2019 10:01:27 PM +00:00,genlu
38948,Fix typos,"",Area-Compilers,29/09/2019 7:04:07 PM +00:00,30/09/2019 8:03:03 PM +00:00,jcouv
38945,[WIP] Use camelCase for variables and method arguments,"",Area-Compilers,29/09/2019 12:58:36 PM +00:00,,
38942,System.Index indexing for arrays does not use pattern-based Index,https://sharplab.io/#v2:EYLgtghgzgLgpgJwDQxASwDYB8ACAmARgFgAoHABgAIcCAWAblNJwGZq9KBhS0gb1MqDqBAGyU0AOxiUAsgApJMANoBdShAQIAlEMEBeAHzrNSgHoEV9SgHprlAO4ALAJ4B+AUI+CaYgMaONWTkaKlhtIUNKMLMLRhJdL2ExRSCAZQAHCAkAHkUjKHSJHUiCiRjLRIT4oR9xKSCAGTRYXKkjDFhi9thyuIBfIA=,Area-Compilers,28/09/2019 5:58:37 PM +00:00,8/10/2019 11:07:57 PM +00:00,agocke
38939,Broken Nuget package Microsoft.VisualStudio.Shell.15.0,The first dependency of the latest version of package [`Microsoft.VisualStudio.Shell.15.0`](https://www.nuget.org/packages/Microsoft.VisualStudio.Shell.15.0/) [`Microsoft.ServiceHub.Framework`](https://www.nuget.org/packages/Microsoft.ServiceHub.Framewor,Area-Infrastructure,28/09/2019 12:08:02 PM +00:00,14/10/2019 7:22:27 AM +00:00,
38937,Allow parsing of attributes on any statement.,"Tagging @RikkiGibson 

I recommend reading with whitespace diffs off.  This PR incorporates https://github.com/dotnet/roslyn/pull/38935.  If we can get that merged in first it will make this PR easier to read.

TODO: 
- [x] tests for all forms.",Area-Compilers|Community,28/09/2019 4:33:19 AM +00:00,4/10/2019 6:13:38 PM +00:00,
38920,Remove experimentation for file rename with inline rename,This is no longer an experiment.,Area-IDE,27/09/2019 7:07:23 PM +00:00,1/10/2019 8:53:05 PM +00:00,
38915,typo: ahve -> have,"",Area-IDE|Community,27/09/2019 3:12:46 PM +00:00,27/09/2019 7:06:37 PM +00:00,
38911,rename ProgressStatus.Stoped --> Stopped,Fixes #38039,Area-IDE|Community,27/09/2019 11:31:11 AM +00:00,30/09/2019 8:00:14 AM +00:00,
38908,Add codefix for CS0708,"**Description**
This PR provides a code-fix for the compiler error `CS0708`.

**Issues fixed**
Fix #31838",Area-IDE|Community,27/09/2019 8:58:45 AM +00:00,,mavasani
38907,Fix smart indent with hard tabs (merge to master),This pull request merges #38893 forward to master (version 16.4 preview 2).,Area-IDE,27/09/2019 5:12:40 AM +00:00,27/09/2019 7:48:07 PM +00:00,
38906,Improved formatting of comments and suppressions,"Review by commit is highly recommended to understand the state of the work (each commit is a distinct and non-breaking change).

Fixes #16681 
Fixes #38224",Area-IDE,27/09/2019 4:35:37 AM +00:00,27/09/2019 5:40:48 PM +00:00,
